room_type,price_rank,neighbourhood_cleansed,num_listings,avg_price,median_price
Private room,54,Norwalk,34,95.25,93.0
Private room,55,Covina,42,95.06,76.5
Private room,56,Van Nuys,31,94.6,69.08
Private room,57,Downey,46,94.39,84.23
Private room,58,Echo Park,43,93.82,62.89
Private room,59,Sawtelle,93,92.74,71.93
Private room,60,West Los Angeles,53,92.09,59.37
Private room,61,Walnut,37,91.35,82.5
Private room,62,Mid-City,146,91.04,69.6
Private room,63,Temple City,41,89.86,81.57
Private room,64,Boyle Heights,49,89.25,44.27
Private room,65,Baldwin Hills/Crenshaw,36,88.85,68.21
Private room,66,Reseda,33,88.31,66.37
Private room,67,North Hollywood,101,87.93,74.52
Private room,68,Hacienda Heights,131,86.76,79.6
Private room,69,Rowland Heights,204,83.89,79.0
Private room,70,Brentwood,49,83.64,68.6
Private room,71,East Los Angeles,65,82.95,59.4
Private room,72,Baldwin Park,38,80.1,74.5
Private room,73,Palmdale,112,78.56,69.0
Private room,74,Westwood,241,77.19,59.37
Private room,75,Vermont Square,54,76.34,62.73
Private room,76,Pico-Union,74,70.0,53.7
Private room,77,Lancaster,203,64.47,57.06
Private room,78,Arlington Heights,63,62.17,46.46
Private room,79,Adams-Normandie,70,55.21,50.07
Private room,80,Exposition Park,765,53.37,48.13
